Unicode,Char
U+4EE5,以
U+5104,億
U+6578,數
U+8A08,計
U+7109,焉
U+51A0,冠
U+5E36,帶
U+6422,搢
U+7D33,紳
U+4E4B,之
U+4EBA,人
U+74B0,環
U+6A4B,橋
U+9580,門
U+800C,而
U+89C0,觀
U+807D,聽
U+8005,者
U+9818,領
U+9032,進
U+66F0,曰
U+8FD1,近
U+4F86,來
U+7D2F,累
U+65E5,日
U+F967,不
U+5F97,得
U+77BB,瞻
U+671B,望
U+77E3,矣
U+6628,昨
U+559C,喜
U+96E8,雨
U+6C23,氣
U+51C4,凄
U+51B7,冷
U+5019,候
U+5982,如
U+4F55,何
U+4E0A,上
U+7121,無
U+4E8B,事
U+5927,大
U+738B,王
U+5983,妃
U+5E73,平
U+5B89,安
U+6BB5,段
U+8B8A,變
U+901A,通
U+6709,有
U+6545,故
U+6703,會
U+96D6,雖
U+672A,未
U+7DCA,緊
U+91CD,重
U+53EF,可
U+9054,達
U+5DE6,左
U+4EE4,令
U+5553,啓
U+537D,卽
U+9060,遠
U+63A5,接
U+4F7F,使
U+5433,吳
U+59CB,始
U+58FD,壽
U+7B49,等
U+F9FA,狀
U+5247,則
U+52C5,勅
U+5230,到
U+5C71,山
U+7AD9,站
U+5404,各
U+7387,率
U+652F,支
U+5F85,待
U+5B98,官
U+7D8F,綏
U+671F,期
U+52D5,動
U+548C,和
U+514B,克
U+5B5A,孚
U+5F9E,從
U+5316,化
U+9858,願
U+81F3,至
U+96E3,難
U+540D,名
U+5B70,孰
U+532A,匪
U+5FB7,德
U+670D,服
U+53A5,厥
U+6548,效
U+65AF,斯
U+901F,速
U+5C07,將
U+53D6,取
U+8B6C,譬
U+98A8,風
U+884C,行
U+7FD2,習
U+7DE8,編
U+56DB,四
U+65B9,方
U+6458,摘
U+6577,敷
U+7D1B,紛
U+7269,物
U+88AB,被
U+6191,憑
U+865B,虛
U+9050,遐
U+6493,撓
U+842C,萬
U+5F59,彙
U+62AB,披
U+96E2,離
U+8AD2,諒
U+8349,草
U+9761,靡
U+56FA,固
U+795E,神
U+529F,功
U+76F8,相
U+7B26,符
U+5F7C,彼
U+767E,百
U+9E97,麗
U+51FA,出
U+6B64,此
U+59D3,姓
U+5728,在
U+4E0B,下
U+63F4,援
U+55A9,喩
U+5E38,常
U+4E5F,也
U+5043,偃
U+5024,値
U+7406,理
U+9593,間
U+65BC,於
U+5730,地
U+5BB6,家
U+5E2B,師
U+5B54,孔
U+8056,聖
U+82B1,花
U+6C11,民
U+820D,舍
U+5176,其
U+63ED,揭
U+7384,玄
U+8A13,訓
U+662D,昭
U+793A,示
U+611F,感
U+660E,明
U+5DF2,已
U+65BD,施
U+5BE6,實
U+4F5C,作
U+7232,爲
U+6CBB,治
U+751F,生
U+5F8C,後
U+654E,敎
U+61F7,懷
U+5EB6,庶
U+582F,堯
U+821C,舜
U+6190,憐
U+7957,祗
U+55DF,嗟
U+4E16,世
U+5F92,徒
U+4E09,三
U+81F4,致
U+6627,昧
U+6240,所
U+597D,好
U+6538,攸
U+89E3,解
U+77E5,知
U+5BF8,寸
U+5165,入
U+6DF1,深
U+7576,當
U+4ECD,仍
U+6CF0,泰
U+5B78,學
U+7D66,給
U+50F9,價
U+675F,束
U+51C6,准
U+6291,抑
U+8CB7,買
U+5B9C,宜
U+4FDD,保
U+5B58,存
U+9053,道
U+4FD7,俗
U+8AA4,誤
U+5112,儒
U+89AA,親
U+5F80,往
U+7B46,筆
U+5DE5,工
U+81EA,自
U+76E3,監
U+6587,文
U+623F,房
U+82E5,若
U+53CB,友
U+5229,利
U+591A,多
U+F95C,樂
U+4ECA,今
U+4E00,一
U+9EC3,黃
U+6BDB,毛
U+5FC5,必
U+8F49,轉
U+8ACB,請
U+54E1,員
U+6E20,渠
U+8F29,輩
U+5931,失
U+6392,排
U+4F9D,依
U+820A,舊
U+66F9,曹
U+7368,獨
U+6B21,次
U+53F8,司
U+9001,送
U+4E8E,于
U+751A,甚
U+5F62,形
U+4EA6,亦
U+7533,申
U+98ED,飭
U+80C4,胄
U+F99A,連
U+665D,晝
U+8B1B,講
U+547D,命
U+7389,玉
U+5802,堂
U+8A66,試
U+590F,夏
U+93AD,鎭
U+5341,十
U+9918,餘
U+6539,改
U+5DEE,差
U+554F,問
U+90DE,郞
U+5EF3,廳
U+4EFB,任
U+4ED6,他
U+4FEE,修
