Unicode,Char
U+58EC,壬
U+5B50,子
U+6B63,正
U+6708,月
U+4E00,一
U+65E5,日
U+7F3A,缺
U+4E94,五
U+9670,陰
U+4E09,三
U+516C,公
U+7A7A,空
U+4F4D,位
U+524D,前
U+51AC,冬
U+53F3,右
U+76F8,相
U+905E,遞
U+5F8C,後
U+5B8C,完
U+5E73,平
U+5FA9,復
U+7232,爲
U+9818,領
U+51FA,出
U+9673,陳
U+76F4,直
U+8A00,言
U+5373,即
U+544A,告
U+75C5,病
U+674E,李
U+5FB7,德
U+99A8,馨
U+6052,恒
U+798F,福
U+4E8C,二
U+7686,皆
U+8FAD,辭
U+9000,退
U+516D,六
U+6674,晴
U+5348,午
U+752B,甫
U+5144,兄
U+4EE5,以
U+5FD7,志
U+904B,運
U+4E4B,之
U+4F86,來
U+898B,見
U+53CA,及
U+6628,昨
U+9676,陶
U+5C71,山
U+8B01,謁
U+5EDF,廟
U+6703,會
U+4E8B,事
U+8005,者
U+50C5,僅
U+5341,十
U+4EBA,人
U+5824,堤
U+53D4,叔
U+965D,陝
U+5DDD,川
U+4E08,丈
U+5F9E,從
U+7940,祀
U+5B9A,定
U+65BC,於
U+958B,開
U+5C39,尹
U+6771,東
U+660C,昌
U+60B0,悰
U+7248,版
U+6709,有
U+53F8,司
U+5EA7,座
U+4E2D,中
U+7121,無
U+8AB0,誰
U+6562,敢
U+53EF,可
U+5426,否
U+5617,嘗
U+5FC3,心
U+6240,所
U+4E14,且
U+7532,甲
U+66F0,曰
U+4E59,乙
U+807D,聽
U+91D1,金
U+6FA4,澤
U+9F8D,龍
U+82D9,苙
U+6734,朴
U+5B88,守
U+8ABC,誼
U+6DF8,淸
U+7B49,等
U+4E0D,不
U+554F,問
U+9115,鄕
U+58EB,士
U+96A3,隣
U+5883,境
U+53CB,友
U+64C5,擅
U+81EA,自
U+5C08,專
U+6B0A,權
U+6975,極
U+77E3,矣
U+8A71,話
U+6B21,次
U+5065,健
U+9053,道
U+800C,而
U+5BE6,實
U+588B,墋
U+7E7C,繼
U+81F3,至
U+8AC7,談
U+8AD6,論
U+7D42,終
U+6B72,歲
U+5DF2,已
U+805E,聞
U+5225,別
U+64E7,擧
U+751F,生
U+54E1,員
U+5247,則
U+5708,圈
U+9EDE,點
U+5982,如
U+5F0F,式
U+5E74,年
U+589E,增
U+5EE3,廣
U+4E91,云
U+662F,是
U+53C8,又
U+6BBF,殿
U+8A66,試
U+6578,數
U+521D,初
U+767E,百
U+8218,舘
U+898F,規
U+7570,異
U+9032,進
U+8A2D,設
U+672A,未
U+77E5,知
U+4E5F,也
U+57CE,城
U+4E3B,主
U+6B32,欲
U+5448,呈
U+6B78,歸
U+5176,其
U+8C48,豈
U+6613,易
U+60BB,悻
U+5BA4,室
U+85A6,薦
U+7CEF,糯
U+98EF,飯
U+4E8E,于
U+5165,入
U+591C,夜
U+8272,色
U+751A,甚
U+7464,瑤
U+81FA,臺
U+7389,玉
U+4EAC,京
U+9751,靑
U+677E,松
U+5B85,宅
U+9001,送
U+8A0A,訊
U+65B9,方
U+4F2F,伯
U+8A31,許
U+738B,王
U+6BCD,母
U+5FCC,忌
U+884C,行
U+5C91,岑
U+820D,舍
U+5F83,徃
U+53C3,參
U+516B,八
U+98DF,食
U+5F90,徐
U+541B,君
U+8207,與
U+512A,優
U+5EF6,延
U+66AB,暫
U+5411,向
U+6669,晩
U+529B,力
U+5F97,得
U+63DB,換
U+5BB6,家
U+6210,成
U+6587,文
U+5C45,居
U+6D2A,洪
U+5DDE,州
U+9662,院
U+4EA6,亦
U+8B02,謂
U+96EA,雪
U+6D12,洒
U+5224,判
U+904E,過
U+5C07,將
U+4EAB,享
U+62DB,招
U+6642,時
U+6216,或
U+8B70,議
U+82E5,若
U+7576,當
U+9810,預
U+901A,通
U+5167,內
U+7434,琴
U+61AC,憬
U+6B62,止
U+81E8,臨
U+4F7F,使
U+96D6,雖
U+5344,卄
U+5802,堂
U+56DB,四
U+5730,地
U+9707,震
U+4E45,久
U+5BA3,宣
U+60E0,惠
U+90DE,郞
U+4E0A,上
U+96E8,雨
U+77BB,瞻
U+5EB6,庶
U+7236,父
U+8D99,趙
U+9020,造
U+7C69,籩
U+8C46,豆
U+8F29,輩
U+5954,奔
U+8D70,走
U+514D,免
U+7B11,笑
U+66F8,書
U+7559,留
U+8A6D,詭
U+79D8,秘
U+5C19,尙
U+8CE2,賢
U+6EAA,溪
U+5927,大
U+6EAB,溫
U+81F4,致
U+9060,遠
U+58FB,壻
U+9EC3,黃
U+61A4,憤
U+4ED6,他
U+5B98,官
U+9042,遂
U+6E20,渠
U+4E4E,乎
U+914C,酌
U+4EE3,代
U+79AE,禮
U+56E0,因
U+53BB,去
U+7FA9,義
U+8D0A,贊
U+5177,具
U+666F,景
U+6CD3,泓
U+7E31,縱
U+5148,先
U+7235,爵
U+6B64,此
U+9808,須
U+8A62,詢
U+8AF8,諸
U+7C21,簡
U+55A9,喩
U+4EFB,任
U+55AE,單
U+83AB,莫
U+91CD,重
U+975E,非
U+5E78,幸
U+5BD2,寒
U+5CA1,岡
U+9069,適
U+5230,到
U+543E,吾
U+96E3,難
U+8A73,詳
U+7136,然
U+4E01,丁
U+9593,間
U+59A8,妨
U+4ECA,今
U+756A,番
U+5FC5,必
U+4F55,何
U+5C0A,尊
U+8B58,識
U+4E0B,下
U+5F7C,彼
U+54C9,哉
U+591A,多
U+8CBB,費
U+8AAA,說
U+5931,失
U+52F8,勸
U+6025,急
U+4F3B,伻
U+5D17,崗
U+754F,畏
U+9EE8,黨
U+798D,禍
U+76E1,盡
U+8FB1,辱
U+9072,遲
U+53D6,取
U+6B77,歷
U+8F3F,輿
U+4EF2,仲
U+8AEB,諫
U+6822,栢
U+5CA9,岩
U+912D,鄭
U+58FD,壽
U+54B8,咸
U+99ED,駭
U+723E,爾
U+7368,獨
U+5F35,張
U+7406,理
U+5E38,常
U+514E,兎
U+69AE,榮
U+79C1,私
U+5531,唱
U+5207,切
U+52FF,勿
U+671D,朝
U+4F0A,伊
U+4F0F,伏
U+8CB4,貴
U+8FD1,近
U+4FE1,信
U+5EEC,廬
U+6C5F,江
U+5F0A,弊
U+793A,示
U+4E43,乃
U+50B3,傳
U+8AA4,誤
U+8036,耶
U+7A83,窃
U+6060,恠
U+7109,焉
U+592B,夫
U+6211,我
U+65E3,旣
U+965E,陞
U+8CDC,賜
U+984D,額
U+570B,國
U+5B78,學
U+51E1,凡
U+63AA,措
U+6C7A,決
U+9091,邑
U+6D3D,洽
U+5171,共
U+7E1F,縟
U+65AF,斯
U+6050,恐
U+655D,敝
U+9AD4,體
U+4E56,乖
U+610F,意
U+8332,茲
U+50C9,僉
U+9858,願
U+8AD2,諒
U+5BDF,察
U+6BCB,毋
U+4FFE,俾
U+8B04,謄
U+7D04,約
U+5A49,婉
U+56B4,嚴
U+51DB,凛
U+6C23,氣
U+5E72,干
U+5915,夕
U+9F4B,齋
U+5168,全
U+660E,明
U+796D,祭
U+4EE4,令
U+5112,儒
U+6115,愕
U+4E03,七
U+6668,晨
U+8D77,起
U+59A3,妣
U+75DB,痛
U+6155,慕
U+7F54,罔
U+4F59,余
U+65B0,新
U+6B47,歇
U+50B7,傷
U+5B89,安
U+9AD8,高
U+7956,祖
U+7D20,素
U+5BB0,宰
U+98A8,風
U+4FD7,俗
U+7F8E,美
U+901F,速
U+60D1,惑
U+611A,愚
U+5F04,弄
U+5227,刧
U+8FEB,迫
U+5B8B,宋
U+61C9,應
U+6D35,洵
U+540F,吏
U+9664,除
U+8077,職
U+5F1F,弟
U+984C,題
U+76EE,目
U+5E2B,師
U+6C72,汲
U+8EAB,身
U+8B00,謀
U+4E16,世
U+4E5D,九
U+7B54,答
U+606D,恭
U+5831,報
U+7D19,紙
U+76D6,盖
U+96B1,隱
U+611B,愛
U+771E,眞
U+8033,耳
U+8499,蒙
U+5EA0,庠
U+7D93,經
U+5553,啓
U+7980,禀
U+5F91,徑
U+914D,配
U+540D,名
U+89BD,覽
U+9084,還
U+8DB3,足
U+89C0,觀
U+8F15,輕
U+5C0F,小
U+609F,悟
U+53CD,反
U+88AB,被
U+5606,嘆
U+60DF,惟
U+9580,門
U+5F92,徒
U+52A0,加
U+5916,外
U+9918,餘
U+514B,克
U+5408,合
U+76DB,盛
U+7325,猥
U+4FEF,俯
U+5340,區
U+4F46,但
U+8ACB,請
U+5100,儀
U+9762,面
U+5949,奉
U+9054,達
U+5206,分
U+982D,頭
U+8349,草
U+82DF,苟
U+534A,半
U+4FEE,修
U+8001,老
U+4F3C,似
U+5728,在
U+7269,物
U+51B5,况
U+8A9E,語
U+6B3A,欺
U+6840,桀
U+9DD4,鷔
U+5834,場
U+616E,慮
U+805A,聚
U+5FD9,忙
U+624B,手
U+76DC,盜
U+8CCA,賊
U+672C,本
U+8A08,計
U+5DF1,己
U+6191,憑
U+85C9,藉
U+7D71,統
U+5C24,尤
U+90AA,邪
U+6A6B,橫
U+8CBD,貽
U+57F7,執
U+7AE0,章
U+640D,損
U+76CA,益
U+8655,處
U+7528,用
U+6545,故
U+6130,愰
U+5099,備
U+89D2,角
U+5F13,弓
U+53D9,叙
U+5C0D,對
U+7981,禁
U+5E9C,府
U+90FD,都
U+99B3,馳
U+6349,捉
U+9006,逆
U+7344,獄
U+7F6A,罪
U+660F,昏
U+9ED1,黑
U+67F3,柳
U+5B63,季
U+83EF,華
U+62FF,拿
U+5947,奇
U+8C4A,豊
U+80E4,胤
U+6D77,海
U+76E3,監
U+72C0,狀
U+6355,捕
U+8F09,載
U+5BE7,寧
U+55DF,嗟
U+80BA,肺
U+767C,發
U+5DEE,差
U+8FFD,追
U+52A9,助
U+6068,恨
U+6B4E,歎
U+88FD,製
U+54B2,咲
U+5747,均
U+9928,館
U+8ECD,軍
U+6CB3,河
U+7740,着
U+67B7,枷
U+99AC,馬
U+9396,鎖
U+6D95,涕
U+6CE3,泣
U+6DDA,淚
U+59BB,妻
U+536F,卯
U+865F,號
U+508D,傍
U+6158,慘
U+601B,怛
U+5FCD,忍
U+6C88,沈
U+5DE6,左
U+53F0,台
U+79CB,秋
U+653F,政
U+8B8A,變
U+9C32,鰲
U+8996,視
U+8AF4,諴
U+7A31,稱
U+9023,連
U+9675,陵
U+547D,命
U+5F85,待
U+597D,好
U+5584,善
U+6027,性
U+8A54,詔
U+6714,朔
U+6821,校
U+57C8,埈
U+5EB7,康
U+54F2,哲
U+66C9,曉
U+5149,光
U+78A9,碩
U+515C,兜
U+7387,率
U+62DC,拜
U+6383,掃
U+8D74,赴
U+6176,慶
U+6247,扇
U+58A8,墨
U+7BC0,節
U+75BE,疾
U+9152,酒
U+679C,果
U+9B5A,魚
U+8089,肉
U+5960,奠
U+5893,墓
U+8003,考
U+540C,同
U+4EC1,仁
U+56DE,回
U+4E5E,乞
U+61F7,懷
U+9817,頗
U+7DE9,緩
U+6170,慰
U+6C42,求
U+8CC0,賀
U+7B8B,箋
U+5C31,就
U+622E,戮
U+6751,村
U+7AE5,童
U+6298,折
U+82B1,花
U+675C,杜
U+9D51,鵑
U+8058,聘
U+5948,奈
U+5169,兩
U+9920,餠
U+7591,疑
U+654E,敎
U+6028,怨
U+7F75,罵
U+7FA4,群
U+9803,頃
U+540A,吊
U+90E1,郡
U+6797,林
U+8A2A,訪
U+82F1,英
U+8009,耉
U+5236,制
U+71DF,營
U+53D7,受
U+6756,杖
U+91DC,釜
U+6D66,浦
U+661F,星
U+76C6,盆
U+589C,墜
U+7FCC,翌
U+9577,長
U+67F1,柱
U+6C11,民
U+8F12,輒
U+6B7B,死
U+81E5,臥
U+602A,怪
U+52C9,勉
U+5152,兒
U+666C,晬
U+7B46,筆
U+6666,晦
U+903E,逾
U+5316,化
U+6B65,步
U+908A,邊
U+767B,登
U+78D0,磐
U+77F3,石
U+5761,坡
U+4FC4,俄
U+7533,申
U+5F66,彦
U+5BAE,宮
U+61B2,憲
U+627F,承
U+5B97,宗
U+5BC3,寃
U+8056,聖
U+6D1E,洞
U+7167,照
U+4FDD,保
U+653E,放
U+5143,元
U+60C5,情
U+5178,典
U+6069,恩
U+5929,天
U+611F,感
U+641C,搜
U+62EC,括
U+9A5A,驚
U+5C65,履
U+4EA8,亨
U+966A,陪
U+904A,遊
U+8179,腹
U+60A3,患
U+5F3A,强
U+59CB,始
U+5F01,弁
U+67EC,柬
U+7D2F,累
U+52E2,勢
U+91CE,野
U+6C5D,汝
U+7199,熙
U+6606,昆
U+4F69,佩
U+5360,占
U+8A69,詩
U+548C,和
U+9189,醉
U+66F4,更
U+91CC,里
U+6FEF,濯
U+62B5,抵
U+51CB,凋
U+6301,持
U+8072,聲
U+66AE,暮
U+8FCE,迎
U+57FA,基
U+7E98,纘
U+5BD3,寓
U+571F,土
U+905C,遜
U+518A,冊
U+90A6,邦
U+795A,祚
U+7267,牧
U+5E0C,希
U+8F14,輔
U+97D3,韓
U+518D,再
U+5EA6,度
U+6539,改
U+4FBF,便
U+6C38,永
U+8A23,訣
U+5B70,孰
U+80FD,能
U+5BA2,客
U+52DD,勝
U+8A18,記
U+8CA8,貨
U+821C,舜
U+5F3C,弼
U+9B41,魁
U+56F0,困
U+4F11,休
U+61A9,憩
U+5750,坐
U+5EAD,庭
U+699C,榜
U+5012,倒
U+4E82,亂
U+671F,期
U+7D30,細
U+96F2,雲
U+6FC3,濃
U+5B87,宇
U+6F38,漸
U+973D,霽
U+5FEB,快
U+9047,遇
U+6817,栗
U+4F5C,作
U+501F,借
U+62BC,押
U+97FB,韻
U+9078,選
U+8CE6,賦
U+9727,霧
U+88C1,裁
U+696E,楮
U+6687,暇
U+7A0B,程
U+4F73,佳
U+4E18,丘
U+5BBF,宿
U+7D0D,納
U+8C37,谷
U+708A,炊
U+864E,虎
U+9CF4,鳴
U+4EAD,亭
U+8FF0,述
U+967D,陽
U+8CAA,貪
U+6C5A,汚
U+6065,恥
U+8846,衆
U+9304,錄
U+851A,蔚
U+6E5C,湜
U+8AA0,誠
U+66FE,曾
U+5A6A,婪
U+5145,充
U+9010,逐
U+619A,憚
U+8868,表
U+5510,唐
U+81E3,臣
U+6B61,歡
U+85CF,藏
U+7531,由
U+56DA,囚
U+59BE,妾
U+5C5B,屛
U+8DA8,趨
U+64C7,擇
